Geneve 10 regression FAILED
     time      sim_QP      ref_QP  QP_err_pct  sim_power  ref_power  power_err_pct  sim_alpha  ref_alpha  alpha_err_pct    sim_W    ref_W    W_err_pct
 0.000000 3229.716000 3484.515000    7.312323   1.028760   1.000000       2.876000   0.014175   0.013084       8.336900 0.382005 0.000000          inf
 2.000000 3229.716000 3486.570000    7.366954   1.028760   1.026513       0.218896   0.014175   0.013064       8.504334 0.382005 0.017178  2123.859692
 6.000000 3240.026000 3490.840000    7.184918   1.089629   1.081580       0.744189   0.014458   0.013067      10.644777 0.242184 0.017378  1293.631444
12.000000 3245.564000 3497.678000    7.208039   1.105575   1.169789       5.489366   0.014528   0.013069      11.163125 4.018106 0.017699 22602.010357
20.000000 3245.564000 3507.671000    7.472394   1.105575   1.298716      14.871689   0.014528   0.013071      11.142715 4.018106 0.018169 22015.028136
30.000000 3245.564000 3521.725000    7.841640   1.105575   1.480072      25.302620   0.014528   0.013073      11.128432 4.018106 0.018830 21239.022881
42.000000 3245.564000 3541.205000    8.348599   1.105575   1.731467      36.148076   0.014528   0.013075      11.114153 4.018106 0.019746 20249.291592
56.000000 3245.564000 3568.153000    9.040784   1.105575   2.079270      46.828695   0.014528   0.013077      11.099878 4.018106 0.021013 19022.355576
72.000000 3245.564000 3605.640000    9.986466   1.105575   2.563162      56.866753   0.014528   0.013077      11.095800 4.018106 0.022775 17542.531694
